policy_sk,policy_nk,policy_id,customer_id,policy_name,policy_term,policy_start_dt,policy_end_dt,policy_type_sk,policy_type_id,premium_amt,start_day,end_day,is_current
1,Central|02468_1083,02468_1083,1083,HSB_Jewel_02468,Half Yearly,2011-01-01,2030-12-27,1,12468,60000,0,,True
2,Central|02468_1108,02468_1108,1108,HSB_Jewel_02468,Half Yearly,2011-01-01,2030-12-27,1,12468,60000,0,,True
3,Central|02468_1132,02468_1132,1132,HSB_Jewel_02468,Half Yearly,2011-01-01,2030-12-27,1,12468,60000,0,,True
4,Central|02468_1136,02468_1136,1136,HSB_Jewel_02468,Half Yearly,2010-01-02,2029-12-28,1,12468,60000,0,,True
5,Central|02468_1212,02468_1212,1212,HSB_Jewel_02468,Half Yearly,2010-01-01,2029-12-27,1,12468,60000,0,,True
6,Central|02468_1229,02468_1229,1229,HSB_Jewel_02468,Half Yearly,2015-01-01,2034-12-27,1,12468,60000,0,,True
7,Central|02468_1237,02468_1237,1237,HSB_Jewel_02468,Half Yearly,2014-01-01,2033-12-27,1,12468,60000,0,,True
8,Central|02468_1279,02468_1279,1279,HSB_Jewel_02468,Half Yearly,2013-01-01,2032-12-27,1,12468,60000,0,,True
9,Central|02468_1281,02468_1281,1281,HSB_Jewel_02468,Half Yearly,2015-12-30,2035-12-27,1,12468,60000,0,,True
10,Central|02468_1338,02468_1338,1338,HSB_Jewel_02468,Half Yearly,2010-01-05,2029-12-31,1,12468,60000,0,,True
11,Central|02468_1357,02468_1357,1357,HSB_Jewel_02468,Half Yearly,2014-01-01,2033-12-27,1,12468,60000,0,,True
12,Central|02468_1361,02468_1361,1361,HSB_Jewel_02468,Half Yearly,2007-12-30,2027-12-27,1,12468,60000,0,,True
13,Central|02468_1402,02468_1402,1402,HSB_Jewel_02468,Half Yearly,2011-12-30,2031-12-27,1,12468,60000,0,,True
14,Central|02468_1405,02468_1405,1405,HSB_Jewel_02468,Half Yearly,2010-01-01,2029-12-27,1,12468,60000,0,,True
15,Central|02468_1427,02468_1427,1427,HSB_Jewel_02468,Half Yearly,2016-07-01,2036-12-27,1,12468,60000,0,,True
16,Central|02468_1484,02468_1484,1484,HSB_Jewel_02468,Half Yearly,2015-01-01,2034-12-27,1,12468,60000,0,,True
17,Central|02468_1492,02468_1492,1492,HSB_Jewel_02468,Half Yearly,2012-01-02,2031-12-29,1,12468,60000,0,,True
18,Central|02468_1505,02468_1505,1505,HSB_Jewel_02468,Half Yearly,2006-01-01,2025-12-27,1,12468,60000,0,,True
19,Central|02468_1548,02468_1548,1548,HSB_Jewel_02468,Half Yearly,2011-01-01,2030-12-27,1,12468,60000,0,,True
20,Central|02468_1743,02468_1743,1743,HSB_Jewel_02468,Half Yearly,2014-01-01,2033-12-27,1,12468,60000,0,,True
21,Central|02468_1827,02468_1827,1827,HSB_Jewel_02468,Half Yearly,2015-01-01,2034-12-27,1,12468,60000,0,,True
22,Central|02468_1828,02468_1828,1828,HSB_Jewel_02468,Half Yearly,2014-01-01,2033-12-27,1,12468,60000,0,,True
23,Central|02468_191,02468_191,191,HSB_Jewel_02468,Half Yearly,2013-01-01,2032-12-27,1,12468,60000,0,,True
24,Central|02468_1938,02468_1938,1938,HSB_Jewel_02468,Half Yearly,2011-01-01,2030-12-27,1,12468,60000,0,,True
25,Central|02468_1957,02468_1957,1957,HSB_Jewel_02468,Half Yearly,2016-07-01,2036-12-27,1,12468,60000,0,,True
26,Central|02468_1986,02468_1986,1986,HSB_Jewel_02468,Half Yearly,2010-01-01,2029-12-27,1,12468,60000,0,,True
27,Central|02468_202,02468_202,202,HSB_Jewel_02468,Half Yearly,2011-12-30,2031-12-27,1,12468,60000,0,,True
28,Central|02468_2046,02468_2046,2046,HSB_Jewel_02468,Half Yearly,2014-01-01,2033-12-27,1,12468,60000,0,,True
29,Central|02468_2070,02468_2070,2070,HSB_Jewel_02468,Half Yearly,2018-01-01,2037-12-27,1,12468,60000,0,,True
30,Central|02468_2071,02468_2071,2071,HSB_Jewel_02468,Half Yearly,2007-12-30,2027-12-27,1,12468,60000,0,,True
31,Central|02468_2117,02468_2117,2117,HSB_Jewel_02468,Half Yearly,2011-12-30,2031-12-27,1,12468,60000,0,,True
32,Central|02468_2132,02468_2132,2132,HSB_Jewel_02468,Half Yearly,2007-12-30,2027-12-27,1,12468,60000,0,,True
33,Central|02468_2139,02468_2139,2139,HSB_Jewel_02468,Half Yearly,2009-01-01,2028-12-27,1,12468,60000,0,,True
34,Central|02468_2190,02468_2190,2190,HSB_Jewel_02468,Half Yearly,2011-12-30,2031-12-27,1,12468,60000,0,,True
35,Central|02468_2203,02468_2203,2203,HSB_Jewel_02468,Half Yearly,2013-01-01,2032-12-27,1,12468,60000,0,,True
