fact_sk,snapshot_day,src_region_file,src_file,customer_sk,policy_sk,policy_type_sk,address_sk,total_policy_amt,premium_amt,premium_amt_paid_tilldate,next_premium_dt,actual_premium_paid_dt
1,0,Central,Insurance_details_US_Central_day0.csv,129.0,248.0,3,657,500000,5000,60000,2011-03-31,2011-09-25
2,0,Central,Insurance_details_US_Central_day0.csv,1043.0,251.0,4,790,400000,60000,120000,2012-06-30,2012-12-31
3,0,Central,Insurance_details_US_Central_day0.csv,1028.0,254.0,5,41,500000,5000,60000,2013-03-31,2013-09-25
4,0,Central,Insurance_details_US_Central_day0.csv,319.0,257.0,6,247,500000,5000,60000,2014-03-31,2014-09-25
5,0,Central,Insurance_details_US_Central_day0.csv,780.0,260.0,7,329,500000,5000,60000,2011-03-31,2011-09-25
6,0,Central,Insurance_details_US_Central_day0.csv,993.0,263.0,8,507,500000,5000,60000,2012-03-30,2012-09-24
7,0,Central,Insurance_details_US_Central_day0.csv,402.0,266.0,9,393,500000,5000,60000,2013-03-31,2013-09-25
8,0,Central,Insurance_details_US_Central_day0.csv,969.0,228.0,2,633,500000,5000,60000,2018-03-31,2018-09-25
9,0,Central,Insurance_details_US_Central_day0.csv,175.0,16.0,1,519,400000,60000,60000,2015-07-01,2016-01-01
10,0,Central,Insurance_details_US_Central_day0.csv,1024.0,324.0,12,305,200000,2000,72000,2015-01-31,2015-02-28
11,0,Central,Insurance_details_US_Central_day0.csv,1078.0,240.0,2,502,500000,5000,60000,2016-03-30,2016-09-24
12,0,Central,Insurance_details_US_Central_day0.csv,1025.0,236.0,2,262,500000,5000,60000,2012-03-30,2012-09-24
13,0,Central,Insurance_details_US_Central_day0.csv,894.0,64.0,1,852,400000,60000,60000,2013-07-01,2014-01-01
14,0,Central,Insurance_details_US_Central_day0.csv,758.0,311.0,12,974,200000,2000,72000,2016-01-31,2016-02-28
15,0,Central,Insurance_details_US_Central_day0.csv,789.0,312.0,12,392,200000,2000,72000,2011-02-02,2011-03-02
16,0,Central,Insurance_details_US_Central_day0.csv,708.0,190.0,2,287,500000,5000,60000,2010-03-31,2010-09-25
17,0,Central,Insurance_details_US_Central_day0.csv,100.0,96.0,2,557,500000,5000,60000,2011-03-31,2011-09-25
18,0,Central,Insurance_details_US_Central_day0.csv,687.0,51.0,1,167,400000,60000,60000,2011-07-02,2012-01-02
19,0,Central,Insurance_details_US_Central_day0.csv,744.0,201.0,2,980,500000,5000,60000,2011-04-02,2011-09-27
20,0,Central,Insurance_details_US_Central_day0.csv,93.0,273.0,12,1035,200000,2000,72000,2011-02-04,2011-03-04
21,0,Central,Insurance_details_US_Central_day0.csv,133.0,276.0,12,234,200000,2000,72000,2011-02-01,2011-03-01
22,0,Central,Insurance_details_US_Central_day0.csv,518.0,162.0,2,328,500000,5000,60000,2013-03-31,2013-09-25
23,0,Central,Insurance_details_US_Central_day0.csv,1037.0,237.0,2,166,500000,5000,60000,2013-03-31,2013-09-25
24,0,Central,Insurance_details_US_Central_day0.csv,639.0,46.0,1,1048,400000,60000,60000,2013-07-03,2014-01-03
25,0,Central,Insurance_details_US_Central_day0.csv,51.0,90.0,2,70,500000,5000,60000,2015-04-02,2015-09-27
26,0,Central,Insurance_details_US_Central_day0.csv,706.0,308.0,12,333,200000,2000,72000,2015-02-01,2015-03-01
27,0,Central,Insurance_details_US_Central_day0.csv,1068.0,74.0,1,949,400000,60000,60000,2015-07-05,2016-01-05
28,0,Central,Insurance_details_US_Central_day0.csv,152.0,102.0,2,1033,500000,5000,60000,2012-03-30,2012-09-24
29,0,Central,Insurance_details_US_Central_day0.csv,610.0,45.0,1,538,400000,60000,60000,2012-06-30,2012-12-31
30,0,Central,Insurance_details_US_Central_day0.csv,709.0,191.0,2,128,500000,5000,60000,2010-03-31,2010-09-25
31,0,Central,Insurance_details_US_Central_day0.csv,1108.0,76.0,1,267,400000,60000,60000,2010-07-01,2011-01-01
32,0,Central,Insurance_details_US_Central_day0.csv,864.0,219.0,2,624,500000,5000,60000,2010-03-31,2010-09-25
33,0,Central,Insurance_details_US_Central_day0.csv,443.0,36.0,1,962,400000,60000,60000,2010-07-01,2011-01-01
34,0,Central,Insurance_details_US_Central_day0.csv,459.0,148.0,2,394,500000,5000,60000,2010-03-31,2010-09-25
35,0,Central,Insurance_details_US_Central_day0.csv,605.0,180.0,2,747,500000,5000,60000,2010-03-31,2010-09-25
36,0,Central,Insurance_details_US_Central_day0.csv,562.0,43.0,1,595,400000,60000,60000,2010-07-01,2011-01-01
37,0,Central,Insurance_details_US_Central_day0.csv,842.0,63.0,1,903,400000,60000,60000,2010-07-02,2011-01-02
38,0,Central,Insurance_details_US_Central_day0.csv,462.0,149.0,2,301,500000,5000,60000,2010-04-03,2010-09-28
39,0,Central,Insurance_details_US_Central_day0.csv,1027.0,71.0,1,583,400000,60000,60000,2010-07-01,2011-01-01
40,0,Central,Insurance_details_US_Central_day0.csv,154.0,277.0,12,479,200000,2000,72000,2010-02-01,2010-03-01
41,0,Central,Insurance_details_US_Central_day0.csv,927.0,226.0,2,921,500000,5000,60000,2011-04-02,2011-09-27
42,0,Central,Insurance_details_US_Central_day0.csv,622.0,182.0,2,1072,500000,5000,60000,2011-03-31,2011-09-25
43,0,Central,Insurance_details_US_Central_day0.csv,54.0,4.0,1,883,400000,60000,60000,2010-07-02,2011-01-02
44,0,Central,Insurance_details_US_Central_day0.csv,1117.0,328.0,12,485,200000,2000,72000,2010-02-01,2010-03-01
45,0,Central,Insurance_details_US_Central_day0.csv,640.0,184.0,2,54,500000,5000,60000,2011-04-01,2011-09-26
46,0,Central,Insurance_details_US_Central_day0.csv,352.0,132.0,2,644,500000,5000,60000,2010-04-01,2010-09-26
47,0,Central,Insurance_details_US_Central_day0.csv,692.0,306.0,12,635,200000,2000,72000,2010-02-01,2010-03-01
48,0,Central,Insurance_details_US_Central_day0.csv,755.0,205.0,2,423,500000,5000,60000,2010-03-31,2010-09-25
49,0,Central,Insurance_details_US_Central_day0.csv,370.0,137.0,2,258,500000,5000,60000,2011-03-31,2011-09-25
50,0,Central,Insurance_details_US_Central_day0.csv,991.0,319.0,12,1075,200000,2000,72000,2011-01-31,2011-02-28
51,0,Central,Insurance_details_US_Central_day0.csv,284.0,121.0,2,1104,500000,5000,60000,2009-03-31,2009-09-25
52,0,Central,Insurance_details_US_Central_day0.csv,670.0,187.0,2,455,500000,5000,60000,2010-04-01,2010-09-26
53,0,Central,Insurance_details_US_Central_day0.csv,31.0,86.0,2,397,500000,5000,60000,2010-04-02,2010-09-27
54,0,Central,Insurance_details_US_Central_day0.csv,668.0,186.0,2,200,500000,5000,60000,2010-03-31,2010-09-25
55,0,Central,Insurance_details_US_Central_day0.csv,148.0,14.0,1,396,400000,60000,60000,2010-07-01,2011-01-01
56,0,Central,Insurance_details_US_Central_day0.csv,1100.0,243.0,2,194,500000,5000,60000,2010-03-31,2010-09-25
57,0,Central,Insurance_details_US_Central_day0.csv,879.0,221.0,2,501,500000,5000,60000,2011-04-03,2011-09-28
58,0,Central,Insurance_details_US_Central_day0.csv,916.0,225.0,2,337,500000,5000,60000,2010-04-03,2010-09-28
59,0,Central,Insurance_details_US_Central_day0.csv,104.0,97.0,2,310,500000,5000,60000,2010-04-02,2010-09-27
60,0,Central,Insurance_details_US_Central_day0.csv,297.0,123.0,2,531,500000,5000,60000,2010-04-02,2010-09-27
61,0,Central,Insurance_details_US_Central_day0.csv,609.0,181.0,2,881,500000,5000,60000,2010-04-01,2010-09-26
62,0,Central,Insurance_details_US_Central_day0.csv,439.0,295.0,12,346,200000,2000,72000,2010-02-02,2010-03-02
63,0,Central,Insurance_details_US_Central_day0.csv,667.0,185.0,2,108,500000,5000,60000,2013-04-02,2013-09-27
64,0,Central,Insurance_details_US_Central_day0.csv,83.0,93.0,2,512,500000,5000,60000,2010-04-02,2010-09-27
65,0,Central,Insurance_details_US_Central_day0.csv,463.0,37.0,1,299,400000,60000,60000,2010-07-01,2011-01-01
66,0,Central,Insurance_details_US_Central_day0.csv,525.0,165.0,2,335,500000,5000,60000,2010-04-01,2010-09-26
67,0,Central,Insurance_details_US_Central_day0.csv,122.0,10.0,1,129,400000,60000,60000,2010-07-05,2011-01-05
68,0,Central,Insurance_details_US_Central_day0.csv,41.0,271.0,12,66,200000,2000,72000,2010-02-02,2010-03-02
69,0,Central,Insurance_details_US_Central_day0.csv,290.0,288.0,12,788,200000,2000,72000,2010-02-03,2010-03-03
70,0,Central,Insurance_details_US_Central_day0.csv,339.0,130.0,2,140,500000,5000,60000,2012-03-30,2012-09-24
71,0,Central,Insurance_details_US_Central_day0.csv,490.0,157.0,2,477,500000,5000,60000,2012-03-30,2012-09-24
72,0,Central,Insurance_details_US_Central_day0.csv,177.0,17.0,1,1080,400000,60000,60000,2012-07-02,2013-01-02
73,0,Central,Insurance_details_US_Central_day0.csv,992.0,320.0,12,118,200000,2000,72000,2011-01-31,2011-02-28
74,0,Central,Insurance_details_US_Central_day0.csv,520.0,300.0,12,632,200000,2000,72000,2011-01-31,2011-02-28
75,0,Central,Insurance_details_US_Central_day0.csv,40.0,2.0,1,120,400000,60000,60000,2011-07-01,2012-01-01
76,0,Central,Insurance_details_US_Central_day0.csv,691.0,52.0,1,137,400000,60000,60000,2011-07-03,2012-01-03
77,0,Central,Insurance_details_US_Central_day0.csv,1136.0,78.0,1,835,400000,60000,60000,2011-07-01,2012-01-01
78,0,Central,Insurance_details_US_Central_day0.csv,441.0,35.0,1,153,400000,60000,60000,2013-07-01,2014-01-01
79,0,Central,Insurance_details_US_Central_day0.csv,949.0,68.0,1,528,400000,60000,60000,2013-07-01,2014-01-01
80,0,Central,Insurance_details_US_Central_day0.csv,754.0,204.0,2,617,500000,5000,60000,2015-03-31,2015-09-25
81,0,Central,Insurance_details_US_Central_day0.csv,973.0,70.0,1,1153,400000,60000,60000,2012-06-30,2012-12-31
82,0,Central,Insurance_details_US_Central_day0.csv,201.0,282.0,12,863,200000,2000,72000,2010-01-31,2010-02-28
83,0,Central,Insurance_details_US_Central_day0.csv,84.0,5.0,1,991,400000,60000,60000,2010-07-01,2011-01-01
84,0,Central,Insurance_details_US_Central_day0.csv,379.0,28.0,1,1020,400000,60000,60000,2014-07-01,2015-01-01
85,0,Central,Insurance_details_US_Central_day0.csv,729.0,56.0,1,885,400000,60000,60000,2011-07-01,2012-01-01
86,0,Central,Insurance_details_US_Central_day0.csv,723.0,193.0,2,32,500000,5000,60000,2010-03-31,2010-09-25
87,0,Central,Insurance_details_US_Central_day0.csv,920.0,316.0,12,241,200000,2000,72000,2014-01-31,2014-02-28
88,0,Central,Insurance_details_US_Central_day0.csv,27.0,84.0,2,1001,500000,5000,60000,2010-03-31,2010-09-25
89,0,Central,Insurance_details_US_Central_day0.csv,714.0,55.0,1,327,400000,60000,60000,2010-07-01,2011-01-01
90,0,Central,Insurance_details_US_Central_day0.csv,593.0,303.0,12,562,200000,2000,72000,2010-01-31,2010-02-28
91,0,Central,Insurance_details_US_Central_day0.csv,989.0,231.0,2,336,500000,5000,60000,2010-03-31,2010-09-25
92,0,Central,Insurance_details_US_Central_day0.csv,92.0,7.0,1,82,400000,60000,60000,2014-07-01,2015-01-01
93,0,Central,Insurance_details_US_Central_day0.csv,394.0,292.0,12,471,200000,2000,72000,2012-01-31,2012-02-28
94,0,Central,Insurance_details_US_Central_day0.csv,160.0,105.0,2,517,500000,5000,60000,2013-03-31,2013-09-25
95,0,Central,Insurance_details_US_Central_day0.csv,728.0,194.0,2,623,500000,5000,60000,2013-03-31,2013-09-25
96,0,Central,Insurance_details_US_Central_day0.csv,340.0,24.0,1,594,400000,60000,60000,2011-07-01,2012-01-01
97,0,Central,Insurance_details_US_Central_day0.csv,736.0,58.0,1,648,400000,60000,60000,2012-06-30,2012-12-31
98,0,Central,Insurance_details_US_Central_day0.csv,552.0,301.0,12,362,200000,2000,72000,2013-01-31,2013-02-28
99,0,Central,Insurance_details_US_Central_day0.csv,334.0,23.0,1,1029,400000,60000,60000,2013-07-01,2014-01-01
100,0,Central,Insurance_details_US_Central_day0.csv,603.0,179.0,2,50,500000,5000,60000,2009-03-31,2009-09-25
101,0,Central,Insurance_details_US_Central_day0.csv,538.0,170.0,2,775,500000,5000,60000,2012-03-30,2012-09-24
102,0,Central,Insurance_details_US_Central_day0.csv,475.0,39.0,1,276,400000,60000,60000,2012-06-30,2012-12-31
103,0,Central,Insurance_details_US_Central_day0.csv,485.0,155.0,2,190,500000,5000,60000,2011-03-31,2011-09-25
104,0,Central,Insurance_details_US_Central_day0.csv,787.0,59.0,1,669,400000,60000,60000,2013-07-01,2014-01-01
105,0,Central,Insurance_details_US_Central_day0.csv,181.0,107.0,2,647,500000,5000,60000,2012-03-30,2012-09-24
106,0,Central,Insurance_details_US_Central_day0.csv,713.0,192.0,2,824,500000,5000,60000,2010-03-31,2010-09-25
107,0,Central,Insurance_details_US_Central_day0.csv,669.0,48.0,1,550,400000,60000,60000,2013-07-01,2014-01-01
108,0,Central,Insurance_details_US_Central_day0.csv,32.0,1.0,1,323,400000,60000,60000,2011-07-01,2012-01-01
109,0,Central,Insurance_details_US_Central_day0.csv,276.0,285.0,12,1089,200000,2000,72000,2009-01-31,2009-02-28
110,0,Central,Insurance_details_US_Central_day0.csv,97.0,274.0,12,1054,200000,2000,72000,2014-01-31,2014-02-28
111,0,Central,Insurance_details_US_Central_day0.csv,111.0,98.0,2,857,500000,5000,60000,2011-03-31,2011-09-25
112,0,Central,Insurance_details_US_Central_day0.csv,1077.0,239.0,2,388,500000,5000,60000,2010-03-31,2010-09-25
113,0,Central,Insurance_details_US_Central_day0.csv,1003.0,321.0,12,854,200000,2000,72000,2012-01-31,2012-02-28
114,0,Central,Insurance_details_US_Central_day0.csv,298.0,124.0,2,239,500000,5000,60000,2010-03-31,2010-09-25
115,0,Central,Insurance_details_US_Central_day0.csv,408.0,31.0,1,963,400000,60000,60000,2012-06-30,2012-12-31
116,0,Central,Insurance_details_US_Central_day0.csv,458.0,147.0,2,1050,500000,5000,60000,2013-03-31,2013-09-25
117,0,Central,Insurance_details_US_Central_day0.csv,1137.0,245.0,2,351,500000,5000,60000,2012-03-30,2012-09-24
118,0,Central,Insurance_details_US_Central_day0.csv,913.0,65.0,1,1134,400000,60000,60000,2012-06-30,2012-12-31
119,0,Central,Insurance_details_US_Central_day0.csv,282.0,119.0,2,437,500000,5000,60000,2010-03-31,2010-09-25
120,0,Central,Insurance_details_US_Central_day0.csv,1070.0,75.0,1,822,400000,60000,60000,2013-07-01,2014-01-01
121,0,Central,Insurance_details_US_Central_day0.csv,877.0,220.0,2,1016,500000,5000,60000,2011-03-31,2011-09-25
122,0,Central,Insurance_details_US_Central_day0.csv,1110.0,77.0,1,1123,400000,60000,60000,2012-06-30,2012-12-31
123,0,Central,Insurance_details_US_Central_day0.csv,812.0,216.0,2,159,500000,5000,60000,2010-03-31,2010-09-25
124,0,Central,Insurance_details_US_Central_day0.csv,85.0,94.0,2,447,500000,5000,60000,2014-03-31,2014-09-25
125,0,Central,Insurance_details_US_Central_day0.csv,795.0,211.0,2,112,500000,5000,60000,2012-03-30,2012-09-24
126,0,Central,Insurance_details_US_Central_day0.csv,870.0,314.0,12,506,200000,2000,72000,2012-01-31,2012-02-28
127,0,Central,Insurance_details_US_Central_day0.csv,468.0,150.0,2,431,500000,5000,60000,2010-03-31,2010-09-25
128,0,Central,Insurance_details_US_Central_day0.csv,39.0,87.0,2,676,500000,5000,60000,2012-03-30,2012-09-24
129,0,Central,Insurance_details_US_Central_day0.csv,430.0,145.0,2,401,500000,5000,60000,2010-03-31,2010-09-25
130,0,Central,Insurance_details_US_Central_day0.csv,138.0,101.0,2,489,500000,5000,60000,2013-03-31,2013-09-25
131,0,Central,Insurance_details_US_Central_day0.csv,919.0,315.0,12,13,200000,2000,72000,2013-01-31,2013-02-28
132,0,Central,Insurance_details_US_Central_day0.csv,990.0,232.0,2,1058,500000,5000,60000,2010-03-31,2010-09-25
133,0,Central,Insurance_details_US_Central_day0.csv,193.0,19.0,1,955,400000,60000,60000,2011-07-01,2012-01-01
134,0,Central,Insurance_details_US_Central_day0.csv,521.0,163.0,2,473,500000,5000,60000,2012-03-30,2012-09-24
135,0,Central,Insurance_details_US_Central_day0.csv,1042.0,73.0,1,1099,400000,60000,60000,2011-07-01,2012-01-01
136,0,Central,Insurance_details_US_Central_day0.csv,417.0,33.0,1,716,400000,60000,60000,2009-07-01,2010-01-01
137,0,Central,Insurance_details_US_Central_day0.csv,819.0,62.0,1,988,400000,60000,60000,2012-06-30,2012-12-31
138,0,Central,Insurance_details_US_Central_day0.csv,725.0,309.0,12,882,200000,2000,72000,2010-01-31,2010-02-28
139,0,Central,Insurance_details_US_Central_day0.csv,757.0,207.0,2,60,500000,5000,60000,2013-03-31,2013-09-25
140,0,Central,Insurance_details_US_Central_day0.csv,184.0,108.0,2,482,500000,5000,60000,2011-03-31,2011-09-25
141,0,Central,Insurance_details_US_Central_day0.csv,107.0,8.0,1,1055,400000,60000,60000,2013-07-01,2014-01-01
142,0,Central,Insurance_details_US_Central_day0.csv,412.0,142.0,2,670,500000,5000,60000,2009-03-31,2009-09-25
143,0,Central,Insurance_details_US_Central_day0.csv,1009.0,234.0,2,938,500000,5000,60000,2013-03-31,2013-09-25
144,0,Central,Insurance_details_US_Central_day0.csv,526.0,42.0,1,252,400000,60000,60000,2012-06-30,2012-12-31
145,0,Central,Insurance_details_US_Central_day0.csv,934.0,227.0,2,721,500000,5000,60000,2015-03-31,2015-09-25
146,0,Central,Insurance_details_US_Central_day0.csv,511.0,161.0,2,870,500000,5000,60000,2012-03-30,2012-09-24
147,0,Central,Insurance_details_US_Central_day0.csv,10.0,82.0,2,395,500000,5000,60000,2011-03-31,2011-09-25
148,0,Central,Insurance_details_US_Central_day0.csv,243.0,114.0,2,744,500000,5000,60000,2018-03-31,2018-09-25
149,0,Central,Insurance_details_US_Central_day0.csv,217.0,111.0,2,1025,500000,5000,60000,2014-03-31,2014-09-25
150,0,Central,Insurance_details_US_Central_day0.csv,112.0,99.0,2,78,500000,5000,60000,2017-03-31,2017-09-25
151,0,Central,Insurance_details_US_Central_day0.csv,98.0,95.0,2,834,500000,5000,60000,2011-03-31,2011-09-25
152,0,Central,Insurance_details_US_Central_day0.csv,481.0,153.0,2,561,500000,5000,60000,2018-03-31,2018-09-25
153,0,Central,Insurance_details_US_Central_day0.csv,585.0,175.0,2,340,500000,5000,60000,2015-03-31,2015-09-25
154,0,Central,Insurance_details_US_Central_day0.csv,583.0,174.0,2,641,500000,5000,60000,2018-03-31,2018-09-25
155,0,Central,Insurance_details_US_Central_day0.csv,301.0,125.0,2,1111,500000,5000,60000,2014-03-31,2014-09-25
156,0,Central,Insurance_details_US_Central_day0.csv,707.0,189.0,2,403,500000,5000,60000,2012-03-30,2012-09-24
157,0,Central,Insurance_details_US_Central_day0.csv,183.0,18.0,1,832,400000,60000,60000,2006-07-01,2007-01-01
158,0,Central,Insurance_details_US_Central_day0.csv,391.0,29.0,1,359,400000,60000,60000,2018-07-01,2019-01-01
159,0,Central,Insurance_details_US_Central_day0.csv,159.0,104.0,2,1092,500000,5000,60000,2016-03-30,2016-09-24
160,0,Central,Insurance_details_US_Central_day0.csv,554.0,302.0,12,540,200000,2000,72000,2008-01-31,2008-02-28
161,0,Central,Insurance_details_US_Central_day0.csv,742.0,199.0,2,240,500000,5000,60000,2010-03-31,2010-09-25
162,0,Central,Insurance_details_US_Central_day0.csv,522.0,41.0,1,1038,400000,60000,60000,2016-06-30,2016-12-31
163,0,Central,Insurance_details_US_Central_day0.csv,134.0,12.0,1,306,400000,60000,60000,2008-06-30,2008-12-31
164,0,Central,Insurance_details_US_Central_day0.csv,790.0,60.0,1,179,400000,60000,60000,2015-07-01,2016-01-01
165,0,Central,Insurance_details_US_Central_day0.csv,49.0,89.0,2,814,500000,5000,60000,2016-03-30,2016-09-24
166,0,Central,Insurance_details_US_Central_day0.csv,246.0,116.0,2,761,500000,5000,60000,2015-03-31,2015-09-25
167,0,Central,Insurance_details_US_Central_day0.csv,602.0,178.0,2,476,500000,5000,60000,2010-03-31,2010-09-25
168,0,Central,Insurance_details_US_Central_day0.csv,440.0,146.0,2,1070,500000,5000,60000,2018-03-31,2018-09-25
169,0,Central,Insurance_details_US_Central_day0.csv,401.0,141.0,2,1044,500000,5000,60000,2016-03-30,2016-09-24
170,0,Central,Insurance_details_US_Central_day0.csv,618.0,304.0,12,1013,200000,2000,72000,2007-01-31,2007-02-28
171,0,Central,Insurance_details_US_Central_day0.csv,363.0,136.0,2,948,500000,5000,60000,2010-03-31,2010-09-25
172,0,Central,Insurance_details_US_Central_day0.csv,682.0,50.0,1,576,400000,60000,60000,2013-07-01,2014-01-01
173,0,Central,Insurance_details_US_Central_day0.csv,374.0,139.0,2,787,500000,5000,60000,2010-03-31,2010-09-25
174,0,Central,Insurance_details_US_Central_day0.csv,524.0,164.0,2,925,500000,5000,60000,2014-03-31,2014-09-25
175,0,Central,Insurance_details_US_Central_day0.csv,741.0,198.0,2,607,500000,5000,60000,2015-03-31,2015-09-25
176,0,Central,Insurance_details_US_Central_day0.csv,504.0,160.0,2,964,500000,5000,60000,2017-03-31,2017-09-25
177,0,Central,Insurance_details_US_Central_day0.csv,328.0,128.0,2,683,500000,5000,60000,2017-03-31,2017-09-25
178,0,Central,Insurance_details_US_Central_day0.csv,2.0,81.0,2,231,500000,5000,60000,2009-03-31,2009-09-25
179,0,Central,Insurance_details_US_Central_day0.csv,737.0,195.0,2,259,500000,5000,60000,2013-03-31,2013-09-25
180,0,Central,Insurance_details_US_Central_day0.csv,360.0,26.0,1,960,400000,60000,60000,2010-07-01,2011-01-01
181,0,Central,Insurance_details_US_Central_day0.csv,638.0,305.0,12,53,200000,2000,72000,2007-01-31,2007-02-28
182,0,Central,Insurance_details_US_Central_day0.csv,245.0,284.0,12,284,200000,2000,72000,2017-01-31,2017-02-28
183,0,Central,Insurance_details_US_Central_day0.csv,1106.0,327.0,12,848,200000,2000,72000,2011-01-31,2011-02-28
184,0,Central,Insurance_details_US_Central_day0.csv,55.0,272.0,12,30,200000,2000,72000,2009-01-31,2009-02-28
185,0,Central,Insurance_details_US_Central_day0.csv,393.0,140.0,2,14,500000,5000,60000,2015-03-31,2015-09-25
186,0,Central,Insurance_details_US_Central_day0.csv,132.0,11.0,1,1117,400000,60000,60000,2014-07-01,2015-01-01
187,0,Central,Insurance_details_US_Central_day0.csv,698.0,53.0,1,63,400000,60000,60000,2014-07-01,2015-01-01
188,0,Central,Insurance_details_US_Central_day0.csv,384.0,291.0,12,495,200000,2000,72000,2007-01-31,2007-02-28
189,0,Central,Insurance_details_US_Central_day0.csv,809.0,215.0,2,1149,500000,5000,60000,2015-03-31,2015-09-25
190,0,Central,Insurance_details_US_Central_day0.csv,1118.0,244.0,2,745,500000,5000,60000,2009-03-31,2009-09-25
191,0,Central,Insurance_details_US_Central_day0.csv,53.0,91.0,2,736,500000,5000,60000,2012-03-30,2012-09-24
192,0,Central,Insurance_details_US_Central_day0.csv,961.0,318.0,12,966,200000,2000,72000,2013-01-31,2013-02-28
193,0,Central,Insurance_details_US_Central_day0.csv,283.0,120.0,2,888,500000,5000,60000,2018-03-31,2018-09-25
194,0,Central,Insurance_details_US_Central_day0.csv,464.0,297.0,12,795,200000,2000,72000,2017-01-31,2017-02-28
195,0,Central,Insurance_details_US_Central_day0.csv,1087.0,241.0,2,592,500000,5000,60000,2008-03-30,2008-09-24
196,0,Central,Insurance_details_US_Central_day0.csv,433.0,34.0,1,577,400000,60000,60000,2012-06-30,2012-12-31
197,0,Central,Insurance_details_US_Central_day0.csv,501.0,158.0,2,160,500000,5000,60000,2010-03-31,2010-09-25
198,0,Central,Insurance_details_US_Central_day0.csv,895.0,223.0,2,177,500000,5000,60000,2013-03-31,2013-09-25
199,0,Central,Insurance_details_US_Central_day0.csv,413.0,293.0,12,313,200000,2000,72000,2016-01-31,2016-02-28
200,0,Central,Insurance_details_US_Central_day0.csv,324.0,127.0,2,665,500000,5000,60000,2013-03-31,2013-09-25
201,0,Central,Insurance_details_US_Central_day0.csv,797.0,213.0,2,175,500000,5000,60000,2015-03-31,2015-09-25
202,0,Central,Insurance_details_US_Central_day0.csv,1146.0,80.0,1,389,400000,60000,60000,2010-07-01,2011-01-01
203,0,Central,Insurance_details_US_Central_day0.csv,373.0,27.0,1,535,400000,60000,60000,2012-06-30,2012-12-31
204,0,Central,Insurance_details_US_Central_day0.csv,38.0,270.0,12,1120,200000,2000,72000,2015-01-31,2015-02-28
205,0,Central,Insurance_details_US_Central_day0.csv,482.0,299.0,12,840,200000,2000,72000,2016-01-31,2016-02-28
206,0,Central,Insurance_details_US_Central_day0.csv,323.0,289.0,12,615,200000,2000,72000,2018-01-31,2018-02-28
207,0,Central,Insurance_details_US_Central_day0.csv,530.0,166.0,2,666,500000,5000,60000,2007-03-31,2007-09-25
208,0,Central,Insurance_details_US_Central_day0.csv,422.0,143.0,2,286,500000,5000,60000,2009-03-31,2009-09-25
209,0,Central,Insurance_details_US_Central_day0.csv,1053.0,238.0,2,914,500000,5000,60000,2016-03-30,2016-09-24
210,0,Central,Insurance_details_US_Central_day0.csv,52.0,3.0,1,182,400000,60000,60000,2011-07-01,2012-01-01
211,0,Central,Insurance_details_US_Central_day0.csv,174.0,281.0,12,685,200000,2000,72000,2014-01-31,2014-02-28
212,0,Central,Insurance_details_US_Central_day0.csv,486.0,156.0,2,191,500000,5000,60000,2018-03-31,2018-09-25
213,0,Central,Insurance_details_US_Central_day0.csv,503.0,159.0,2,1139,500000,5000,60000,2017-03-31,2017-09-25
214,0,Central,Insurance_details_US_Central_day0.csv,285.0,287.0,12,1128,200000,2000,72000,2015-01-31,2015-02-28
215,0,Central,Insurance_details_US_Central_day0.csv,467.0,38.0,1,643,400000,60000,120000,2017-07-01,2018-01-01
216,0,Central,Insurance_details_US_Central_day0.csv,827.0,218.0,2,268,500000,5000,60000,2012-03-30,2012-09-24
217,0,Central,Insurance_details_US_Central_day0.csv,469.0,151.0,2,97,500000,5000,60000,2013-03-31,2013-09-25
218,0,Central,Insurance_details_US_Central_day0.csv,739.0,196.0,2,26,500000,5000,60000,2016-03-30,2016-09-24
219,0,Central,Insurance_details_US_Central_day0.csv,786.0,210.0,2,935,500000,5000,60000,2018-03-31,2018-09-25
220,0,Central,Insurance_details_US_Central_day0.csv,796.0,212.0,2,81,500000,5000,60000,2010-03-31,2010-09-25
221,0,Central,Insurance_details_US_Central_day0.csv,519.0,40.0,1,47,400000,60000,60000,2006-07-01,2007-01-01
222,0,Central,Insurance_details_US_Central_day0.csv,192.0,109.0,2,702,500000,5000,60000,2011-03-31,2011-09-25
223,0,Central,Insurance_details_US_Central_day0.csv,231.0,113.0,2,133,500000,5000,60000,2013-03-31,2013-09-25
